District,Year,Month,Season,Crop,Soil Type,Soil_Water_Capacity,Temperature_C,Humidity_Percent,Rainfall_mm,Wind_Speed,Solar_Radiation,Crop_Water_Demand_mm,Water_Balance_mm,Water_Shortage_Level,Date
Lahore,2015,1,Rabi,Paddy,Red,120.0,12.24,46.67,38.2,1.39,2.64,135.41,-134.72,2,2015-01-01
Lahore,2015,1,Rabi,Maize,Clayey,200.0,12.24,46.67,38.2,1.39,2.64,70.65,-69.96,2,2015-01-01
Lahore,2015,1,Rabi,Pulses,Clayey,200.0,12.24,46.67,38.2,1.39,2.64,58.88,-58.19,2,2015-01-01
Lahore,2015,1,Rabi,Millets,Black,180.0,12.24,46.67,38.2,1.39,2.64,47.1,-46.41,1,2015-01-01
Lahore,2015,1,Rabi,Sugarcane,Loamy,140.0,12.24,46.67,38.2,1.39,2.64,147.19,-146.5,2,2015-01-01
Lahore,2015,1,Rabi,Mungbean,Loamy,140.0,12.24,46.67,38.2,1.39,2.64,82.43,-81.74,2,2015-01-01
Lahore,2015,1,Rabi,Blackgram,Loamy,140.0,12.24,46.67,38.2,1.39,2.64,82.43,-81.74,2,2015-01-01
Lahore,2015,1,Rabi,Lentil,Loamy,140.0,12.24,46.67,38.2,1.39,2.64,82.43,-81.74,2,2015-01-01
Lahore,2015,1,Rabi,Wheat,Clayey,200.0,12.24,46.67,38.2,1.39,2.64,58.88,-58.19,2,2015-01-01
Lahore,2015,1,Rabi,Banana,Loamy,140.0,12.24,46.67,38.2,1.39,2.64,82.43,-81.74,2,2015-01-01
Lahore,2015,1,Rabi,Mango,Loamy,140.0,12.24,46.67,38.2,1.39,2.64,82.43,-81.74,2,2015-01-01
Lahore,2015,1,Rabi,Grapes,Loamy,140.0,12.24,46.67,38.2,1.39,2.64,82.43,-81.74,2,2015-01-01
Lahore,2015,1,Rabi,Cotton,Loamy,140.0,12.24,46.67,38.2,1.39,2.64,88.31,-87.62,2,2015-01-01
Lahore,2015,2,Rabi,Paddy,Red,120.0,16.19,52.3,72.8,1.54,3.83,164.01,-162.28,3,2015-02-01
